id, pos_x, pos_y, proj_x, proj_y, InFoRM
8001, -0.009589973837137222, 0.02529723010957241, -0.00014686131726434408, -7.129484206017782e-05, 0.018653234889556992
64666, -0.01559518650174141, 0.14540956914424896, -0.00015439500010133706, -7.313419039670503e-05, 0.0022691856933134704
7018, -0.27857401967048645, -0.0760878324508667, -0.0001143606564291893, -5.3948299014084624e-05, 0.011813886764427538
1299, 0.1198323592543602, 0.10781673341989517, -0.00010480788254066957, 0.00011143421656866882, 0.07827588275919586
4513, 0.023986967280507088, 0.036388564854860306, -0.00012598112504301934, -7.628354958727748e-05, 0.019782069248616217
5650, -0.157029926776886, 0.048683859407901764, -0.00014016822921759494, -5.620772907676207e-05, 0.015559373604677186
3292, 0.07137928158044815, 0.09964943677186966, -0.00013961240059702423, -7.145636013318204e-05, 0.021696512949354638
6939, 0.030693968757987022, 0.029008345678448677, -0.00013469335728262172, -7.50245676849486e-05, 0.02103365382653243
12956, 0.025381071493029594, 0.028079478070139885, -0.00014717417446510545, -7.548630367709336e-05, 0.05541561147367544
6395, -0.17098143696784973, -0.05479716882109642, -0.0001313158817768118, -5.592819383081899e-05, 0.017358662231638834
286, 0.07511583715677261, 0.08773152530193329, -4.810078549521164e-05, -9.26648426171078e-05, 0.026602583846600417
6539, 0.019603587687015533, -0.030944805592298508, -0.00013967019167818398, -7.804859333788307e-05, 0.018083462372986456
6461, 0.006693096831440926, 0.041065141558647156, -0.00014000888031292458, -7.501941350148469e-05, 0.023688507469696845
6079, -0.05810913071036339, 0.044525228440761566, -0.0001456907940814663, -5.82836280246901e-05, 0.019833399834204006
293, -0.02034464292228222, -0.03664815053343773, 0.00018388865737163293, -9.775403316053791e-05, 0.03184452024044818
8075, -0.0424986258149147, -0.0077055771835148335, -0.00013145751454730258, -7.313337418741938e-05, 0.02805080450962882
3303, 0.03985949978232384, 0.08097804337739944, -8.475657609955775e-05, -8.370169524658967e-05, 0.028934405565834907
4637, 0.031908392906188965, -0.06344933807849884, -0.00016543273833194986, -7.085221243610836e-05, 0.053792500184660655
19029, -0.06730479747056961, -0.02632097899913788, -0.0001400765096721243, -6.009186270398334e-05, 0.017827325558327996
2497, 0.04378978908061981, -0.04775136336684227, -0.00014684791910369785, 6.609398864562888e-07, 0.0598801414363687
3602, 0.04526563361287117, -0.06998017430305481, -0.00016778348419249194, -9.192882647530325e-05, 0.008457610278988772
812, -0.04523114487528801, 0.005990162491798401, -0.00014883637525275325, -7.0124288210414e-05, 0.014336313601040363
3561, -0.18603472411632538, 0.03994261473417282, -0.00016016538125747663, -5.287935472552955e-05, 0.016298961273760633
2516, 0.018987322226166725, -0.05592377856373787, -0.00015493038082931013, -1.5913806742887668e-05, 0.06168207681198802
4323, -0.12230036407709122, -0.11468328535556793, -0.0001341380944819621, -5.531773908951485e-05, 0.01477457240699606
