id,pos_x,pos_y,proj_x,proj_y,nr_hops,InFoRM_hops
0,-0.009774094447493553,0.01883634179830551,-1.938559420893835e-05,-8.215711941961891e-05,1,0.025533823569216223
3361,0.01111159659922123,0.0031746423337608576,4.549379064807694e-06,-7.95855452382164e-05,1,0.26334211081435016
137,-0.008531075902283192,-0.004311623517423868,-3.116733152566218e-05,-7.732016754839185e-05,1,0.021992465424679704
2158,-0.018932702019810677,-0.009836241602897644,-2.2933519407782737e-05,-8.487528009124184e-05,1,0.021568058974473135
974,-0.0016486461972817779,-0.005599324591457844,-1.6765065160018145e-05,-8.185254893398209e-05,1,0.10717380851545286
1839,-0.012171945534646511,0.011769752018153667,-2.0606297381244625e-05,-8.915839489043852e-05,1,0.011785285939737933
1552,-0.0012878944398835301,0.01501479558646679,-1.6035215261860147e-05,-8.435042815795574e-05,1,0.017610801992247915
1586,-0.001975435996428132,0.009112686850130558,-1.779851908587886e-05,-9.10885554246255e-05,1,0.030617731574196214
243,0.009545881301164627,0.019725119695067406,-2.3522623685205456e-05,-8.557503323512772e-05,1,0.01896914500563494
3583,0.010354660451412201,0.011812480166554451,-1.8256689006552468e-05,-9.015060172855084e-05,1,0.015287780123431518
206,-0.020722033455967903,0.010960509069263935,-1.4656042403249021e-05,-8.49302372547717e-05,1,0.01469216284296341
3405,0.007965613156557083,0.01813933625817299,-2.089649114628644e-05,-9.065198072763773e-05,1,0.009155709735741896
3225,0.011101456359028816,0.005783773958683014,-2.8527793520347812e-05,-9.428797030365898e-05,1,0.018476582995410495
2137,-0.014831159263849258,0.055304426699876785,-1.9871899358040897e-05,-9.065034238120136e-05,1,0.02492084529297095
954,0.00283917342312634,0.0013579761143773794,-2.0006944418411423e-05,-8.164006688049586e-05,1,0.020226877494521164
1903,0.010798661969602108,-0.004376693163067102,-2.3018882549853252e-05,-8.592526684094679e-05,1,0.1559133480420821
3644,0.01637914776802063,-0.007507204078137875,-2.455821593013045e-05,-8.983553938031805e-05,1,0.030435553068281686
3006,-0.005682158749550581,-0.015891294926404953,-4.369363258758777e-05,-4.296226733774772e-05,1,0.042002246582812236
2367,-0.046515095978975296,0.02610701136291027,-1.1286810654414698e-05,-8.502895804958736e-05,1,0.1402114074540323
1,0.006405568681657314,0.025016028434038162,-2.1382481062302477e-05,-8.157364718860498e-05,1,0.0360666864455478
992,0.007585220038890839,0.006232246290892363,-2.1472267445376867e-05,-8.512361007135012e-05,1,0.3652520621449837
3318,0.008473940193653107,0.009038995951414108,-2.3367573863548483e-05,-7.749718552143854e-05,1,0.01565779602199987
2083,-0.013919197022914886,0.014750066213309765,-2.203193133507746e-05,-8.211312722048402e-05,1,0.02244640026193699
2788,0.005240507889539003,0.0016777025302872062,-2.94054160306756e-05,-8.563389300647238e-05,1,0.01519262598429426
805,-0.01821593940258026,0.022903960198163986,-1.817766037960556e-05,-8.61971972837347e-05,1,0.012740969605460518
3574,0.005967545788735151,0.006423942744731903,-2.2852640482870967e-05,-8.322692062380768e-05,1,0.05485117403009383
3788,0.010112513788044453,-0.00047202318091876805,-2.089683397014479e-05,-8.530548320456701e-05,1,0.09664063754674095
2799,0.0010401462204754353,0.0001785181084414944,-1.966161898462437e-05,-8.437690579859242e-05,1,0.049534744818816846
2802,0.0028461399488151073,0.002413429319858551,-2.0594815695822088e-05,-8.396042455256293e-05,1,0.0343954362562114
1462,0.002552296267822385,0.0013402501353994012,-2.0231604109687764e-05,-8.358560929174175e-05,1,0.1724586748972305
823,0.004749520216137171,0.004595588427037001,-2.3848792869973126e-05,-8.486506323897276e-05,1,0.0293893093871312
824,0.01111852377653122,0.004293665289878845,-2.2165174724934955e-05,-8.333883544847716e-05,1,0.14077842221044584
1309,0.01207720022648573,-0.001730416202917695,-2.0094710552199654e-05,-8.769889681372039e-05,1,0.01445330065988841
2,-0.06284162402153015,-0.028862982988357544,-2.8942873654221953e-05,-0.0001500878150848422,1,0.030090407097266573
3473,-0.03719278424978256,-0.05381326377391815,-2.8930548191865026e-05,-0.00015969069712132883,1,0.02426853200259746
